EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,1.300815708,-50.5,-4.875
300833B2DDD9014000000016,2.380738183,-45.5,-8.125
300833B2DDD901400000001D,3.184544116,-32.5,-4.875
300833B2DDD9014000000006,3.374757733,-39.5,1.625
300833B2DDD901400000000D,1.644427405,-40,-3.25
300833B2DDD901400000002D,5.847534763,-37,-3.25
300833B2DDD901400000000C,1.656699251,-42,0
300833B2DDD9014000000000,3.233631501,-37,3.25
300833B2DDD9014000000000,2.478912953,-29,-6.5
300833B2DDD9014000000002,2.411417799,-32.5,-6.5
300833B2DDD9014000000004,3.393165503,-57,13.8125
300833B2DDD9014000000000,1.337631247,-61,-21.125
300833B2DDD9014000000029,1.914408023,-33.5,-3.25
300833B2DDD901400000001A,1.34376717,-35.5,1.625
300833B2DDD9014000000000,0.981747704,-42.5,10.5625
300833B2DDD9014000000019,2.5709518,-45.5,-1.625
300833B2DDD9014000000000,0.128854386,-47,3.25
300833B2DDD9014000000000,0.092038847,-33,-1.625
300833B2DDD9014000000018,2.503456646,-32,-1.625
300833B2DDD9014000000000,5.933437688,-34.5,0
300833B2DDD9014000000000,3.583379121,-54.5,7.3125
300833B2DDD9014000000000,6.270913461,-47,3.25
300833B2DDD9014000000000,3.822680123,-66,70.75
300833B2DDD901400000000F,3.552699505,-52,15.4375
300833B2DDD9014000000000,1.81009733,-42.5,-3.25
300833B2DDD9014000000012,2.552544031,-50.5,0
300833B2DDD9014000000000,1.650563328,-59.5,4.875
300833B2DDD9014000000008,3.325670348,-36,3.25
300833B2DDD9014000000001,2.116893487,-55,-8.125
300833B2DDD9014000000013,2.35619449,-41.5,-6.5
300833B2DDD9014000000011,1.822369176,-57.5,-3.25
300833B2DDD9014000000000,1.803961407,-42.5,-4.875
300833B2DDD9014000000015,2.988194575,-57.5,13.8125
300833B2DDD9014000000001,1.932815793,-37.5,-7.3125
300833B2DDD9014000000000,0.21475731,-47.5,-3.25
300833B2DDD901400000002E,3.337942194,-54.5,9.75
300833B2DDD9014000000031,0.89584478,-54.5,9.75
300833B2DDD9014000000000,3.497476196,-46,9.75
300833B2DDD9014000000003,1.742602175,-52.5,-7.3125
300833B2DDD9014000000000,1.196505015,-55,-4.875
300833B2DDD9014000000000,0.963339935,-55,-31.6875
300833B2DDD9014000000000,2.70594211,-41,1.625
300833B2DDD9014000000000,2.816388727,-52.5,8.125
300833B2DDD9014000000000,4.473087977,-36,3.25
300833B2DDD9014000000000,4.307418052,-54.5,10.5625
300833B2DDD901400000000B,0.049087385,-55.5,0
300833B2DDD9014000000000,3.460660657,-45,4.875
300833B2DDD9014000000000,5.982525073,-56.5,-8.9375
300833B2DDD9014000000000,0.920388473,-61.5,4.875
300833B2DDD9014000000000,3.245903347,-37,7.3125
300833B2DDD9014000000000,1.018563243,-42.5,1.625
300833B2DDD901400000001D,3.184544116,-32.5,3.25
300833B2DDD9014000000003,1.730330329,-52.5,-10.5625
300833B2DDD9014000000015,3.025010114,-58,3.25
300833B2DDD901400000002D,5.847534763,-37,3.25
300833B2DDD9014000000000,2.4911848,-29,-6.5
300833B2DDD901400000002E,3.36862181,-54.5,4.875
300833B2DDD9014000000029,1.920543946,-34,3.25
300833B2DDD9014000000012,2.558679954,-50.5,1.625
300833B2DDD9014000000018,2.515728492,-32,-1.625
300833B2DDD901400000001A,1.356039016,-35.5,3.25
300833B2DDD9014000000008,3.319534425,-36.5,4.875
300833B2DDD9014000000031,0.969475858,-55,-15.4375
300833B2DDD9014000000000,0.110446617,-33,-1.625
300833B2DDD9014000000000,3.509748043,-46,11.375
300833B2DDD9014000000001,1.932815793,-37.5,-4.875
300833B2DDD9014000000000,5.964117303,-34.5,-4.875
300833B2DDD9014000000000,4.466952054,-36,6.5
300833B2DDD9014000000000,1.81009733,-42.5,-4.875
300833B2DDD9014000000002,2.417553722,-32.5,-3.25
300833B2DDD9014000000000,3.448388811,-45,10.5625
300833B2DDD9014000000000,0.220893233,-47.5,-8.125
300833B2DDD9014000000000,4.276738437,-55,18.6875
300833B2DDD9014000000000,0.877437011,-55,-6.5
300833B2DDD9014000000000,1.730330329,-59.5,-12.1875
300833B2DDD9014000000016,2.380738183,-46,1.625
300833B2DDD901400000000F,3.515883966,-52,23.5625
300833B2DDD9014000000000,2.712078033,-41,1.625
300833B2DDD9014000000000,0.147262156,-47,-1.625
300833B2DDD9014000000013,2.362330413,-41.5,-1.625
300833B2DDD9014000000000,1.282407939,-61,7.3125
300833B2DDD901400000000D,1.67510702,-40,-7.3125
300833B2DDD901400000000C,1.69351479,-42,0
300833B2DDD9014000000011,1.853048792,-57.5,-21.125
300833B2DDD9014000000000,1.337631247,-50.5,-9.75
300833B2DDD9014000000000,2.797980957,-53,8.125
300833B2DDD9014000000000,0.951068088,-61,-9.75
300833B2DDD9014000000004,3.417709195,-57,13.8125
300833B2DDD9014000000000,3.546563582,-55,26
300833B2DDD9014000000000,1.834641022,-42.5,-4.875
300833B2DDD901400000000B,0.110446617,-56,-9.75
300833B2DDD9014000000000,0.018407769,-47,-3.25
300833B2DDD9014000000019,2.583223647,-45.5,4.875
300833B2DDD9014000000006,3.380893656,-39.5,3.25
300833B2DDD9014000000001,2.104621641,-55,0
300833B2DDD9014000000000,1.159689476,-55,10.5625
300833B2DDD9014000000000,5.97638915,-56.5,-10.5625
300833B2DDD901400000001D,3.184544116,-32.5,3.25
300833B2DDD9014000000002,2.423689645,-32.5,-3.25
300833B2DDD9014000000006,3.38702958,-39.5,7.3125
300833B2DDD9014000000000,1.822369176,-42.5,-8.9375
300833B2DDD9014000000000,1.319223478,-50.5,-3.25
300833B2DDD901400000001A,1.368310863,-35.5,1.625
300833B2DDD9014000000000,0.202485464,-47.5,4.875
