EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,4.13561220413969,-52,8.9375
300833B2DDD901400000000C,1.89600025382665,-63,6.5
300833B2DDD9014000000000,6.12978722839102,-62,-26.8125
300833B2DDD9014000000000,5.82299107081389,-46.5,0
300833B2DDD9014000000013,5.11122398523496,-57,-11.375
300833B2DDD9014000000000,5.47324345117597,-64,-13.8125
300833B2DDD901400000002D,1.70578663612883,-40,4.875
300833B2DDD9014000000000,4.64489382571772,-44,1.625
300833B2DDD9014000000031,5.38734052705437,-62,0
300833B2DDD9014000000000,1.20264093770234,-40.5,4.875
300833B2DDD9014000000000,0.920388472731385,-57,1.625
300833B2DDD9014000000008,5.17871913990192,-44,-1.625
300833B2DDD901400000001D,4.66330159517235,-39.5,1.625
300833B2DDD9014000000003,5.63891337626762,-46.5,-6.5
300833B2DDD9014000000000,4.84124336656708,-43.5,0
300833B2DDD9014000000000,3.66928204462245,-58.5,27.625
300833B2DDD9014000000015,3.71836942983479,-68,140.75
300833B2DDD9014000000000,0.791534086548991,-54,-7.3125
300833B2DDD9014000000002,2.83479649601267,-45.5,6.5
300833B2DDD9014000000018,3.60792281310703,-41.5,6.5
300833B2DDD9014000000001,0.601320468851171,-47.5,10.5625
300833B2DDD9014000000000,3.16613634619596,-41.5,3.25
300833B2DDD901400000000D,4.37491320704985,-59.5,30.0625
300833B2DDD901400000001A,3.20295188510522,-42,1.625
300833B2DDD9014000000000,0.871301087519044,-46,0
300833B2DDD9014000000012,5.6511852225707,-55,-6.5
300833B2DDD9014000000000,5.87207845602623,-57,-4.875
300833B2DDD9014000000000,2.57095180049633,-67.5,27.625
300833B2DDD9014000000029,2.23347602716149,-52.5,-3.25
300833B2DDD901400000000F,0.582912699396544,-56.5,-15.4375
300833B2DDD9014000000016,5.0744084463257,-62.5,13.8125
300833B2DDD9014000000011,3.08636934522591,-56.5,21.125
300833B2DDD9014000000000,0.325203927031756,-60,-20.3125
300833B2DDD9014000000000,6.16660276730028,-67,-50.4375
300833B2DDD9014000000008,5.1603113704473,-44.5,3.25
300833B2DDD9014000000001,0.632000084608884,-47.5,0
300833B2DDD9014000000029,2.18438864194915,-52.5,15.4375
300833B2DDD901400000002D,1.74260217503809,-40.5,-1.625
