EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,5.59596191420682,-62,1.625
300833B2DDD9014000000000,1.09219432097458,-41,4.875
300833B2DDD9014000000000,2.90229165067963,-40,8.125
300833B2DDD901400000002D,1.53398078788564,-41,-1.625
300833B2DDD9014000000000,3.9638063558965,-53,18.6875
300833B2DDD9014000000000,1.02469916630761,-60,-11.375
300833B2DDD9014000000018,3.49134027322772,-41,8.125
300833B2DDD901400000000D,4.65716567202081,-59,18.6875
300833B2DDD9014000000000,5.7800396087531,-46.5,-6.5
300833B2DDD9014000000000,4.71852490353623,-44,0
300833B2DDD9014000000003,5.28916575662969,-46.5,-7.3125
300833B2DDD9014000000001,0.552233083638831,-46.5,7.3125
300833B2DDD9014000000004,2.81025280340649,-66,18.6875
300833B2DDD9014000000000,4.79215598135474,-61.5,1.625
300833B2DDD901400000001A,3.03728196001357,-42.5,3.25
300833B2DDD901400000001D,4.33809766814059,-38.5,0
300833B2DDD9014000000031,5.33825314184203,-57,4.875
300833B2DDD9014000000000,4.62648605626309,-45.5,4.875
300833B2DDD9014000000029,2.85934018861884,-54.5,15.4375
300833B2DDD9014000000012,5.45483568172134,-55.5,0
300833B2DDD9014000000000,5.76163183929847,-64.5,-8.125
300833B2DDD9014000000000,0.509281621578033,-46.5,3.25
300833B2DDD9014000000008,4.7430685961424,-44.5,3.25
300833B2DDD901400000000C,1.92667986958437,-63.5,13.8125
300833B2DDD9014000000000,1.09833024412612,-53.5,4.875
300833B2DDD9014000000002,2.7243498792849,-44,8.125
300833B2DDD9014000000016,5.03759290741645,-61.5,13.8125
300833B2DDD9014000000011,3.3870295796515,-55.5,27.625
300833B2DDD9014000000000,0.116582539879309,-53.5,-3.25
300833B2DDD9014000000000,1.42353417115788,-54.5,1.625
300833B2DDD901400000000F,1.21491278400543,-56,13.8125
300833B2DDD9014000000000,3.54042765844006,-55.5,22.75
300833B2DDD901400000002E,3.42998104171229,-61.5,21.9375
300833B2DDD9014000000000,5.83526291711698,-70.5,-129.375
300833B2DDD9014000000001,0.208621387152447,-67.5,-67.5
300833B2DDD9014000000000,5.81071922451081,-46.5,-3.25
300833B2DDD9014000000000,1.12287393673229,-53.5,1.625
300833B2DDD9014000000008,4.75534044244549,-44.5,0
300833B2DDD9014000000000,4.7430685961424,-44,0
300833B2DDD9014000000000,4.79215598135474,-61.5,1.625
300833B2DDD9014000000002,2.73048580243644,-43.5,6.5
300833B2DDD901400000001A,3.0127382674074,-42.5,15.4375
300833B2DDD901400000001D,4.33196174498905,-39,4.875
300833B2DDD901400000002D,1.52170894158256,-41,4.875
300833B2DDD9014000000029,2.84093241916421,-54,25.1875
300833B2DDD901400000000F,1.2824079386724,-56.5,0
300833B2DDD9014000000003,5.30757352608432,-46.5,-7.3125
300833B2DDD9014000000031,5.38120460390283,-57,-9.75
300833B2DDD9014000000018,3.49134027322772,-41,9.75
300833B2DDD9014000000000,2.92069942013426,-40,6.5
300833B2DDD9014000000000,5.68800076147996,-62.5,-18.6875
300833B2DDD9014000000000,1.08605839782303,-41,8.125
300833B2DDD9014000000000,0.50314569842649,-46.5,9.75
300833B2DDD9014000000000,4.65102974886926,-45.5,1.625
300833B2DDD9014000000001,0.552233083638831,-46.5,8.9375
300833B2DDD9014000000004,2.65071880146639,-66,43.9375
300833B2DDD9014000000011,3.42998104171229,-55.5,11.375
300833B2DDD9014000000000,4.01289374110884,-53,3.25
300833B2DDD9014000000000,5.51005899008522,-64,44.75
300833B2DDD9014000000000,0.147262155637022,-54,0
300833B2DDD9014000000000,1.41126232485479,-54,7.3125
300833B2DDD9014000000012,5.43642791226671,-55,8.125
300833B2DDD9014000000000,3.58337912050086,-55.5,10.5625
300833B2DDD901400000000C,2.03099056316059,-63.5,6.5
300833B2DDD901400000002E,3.43611696486384,-61,25.1875
300833B2DDD9014000000016,5.05600067687107,-62,4.875
300833B2DDD9014000000000,0.994019550549895,-59.5,-1.625
300833B2DDD901400000000D,4.62648605626309,-59,34.9375
300833B2DDD9014000000012,5.46097160487288,-55,6.5
300833B2DDD901400000000F,1.27627201552085,-56,3.25
300833B2DDD9014000000001,0.570640853093458,-46.5,7.3125
300833B2DDD901400000001A,3.07409749892282,-42.5,-1.625
300833B2DDD9014000000000,0.50314569842649,-46.5,6.5
300833B2DDD9014000000008,4.75534044244549,-44.5,0
300833B2DDD901400000001D,4.35036951444368,-39,1.625
300833B2DDD9014000000002,2.70594210983027,-43.5,13.8125
300833B2DDD9014000000000,1.43580601746096,-54,3.25
300833B2DDD9014000000000,1.1106020904292,-41,0
300833B2DDD9014000000000,3.5465635815916,-55.5,13.8125
300833B2DDD9014000000003,5.31370944923586,-46.5,-3.25
300833B2DDD9014000000000,4.01289374110884,-53.5,10.5625
300833B2DDD9014000000000,4.73693267299086,-44,4.875
300833B2DDD9014000000011,3.42998104171229,-55.5,21.125
300833B2DDD9014000000000,4.65716567202081,-45.5,-1.625
300833B2DDD901400000002D,1.52170894158256,-41,4.875
300833B2DDD9014000000000,5.6941366846315,-64,10.5625
300833B2DDD9014000000018,3.48520435007618,-41,8.125
300833B2DDD9014000000000,0.98174770424681,-59.5,3.25
300833B2DDD9014000000000,2.89001980437655,-40,6.5
300833B2DDD9014000000013,4.71852490353623,-63,13.8125
300833B2DDD901400000000C,2.02485464000905,-63.5,1.625
300833B2DDD9014000000000,1.08605839782303,-53.5,4.875
300833B2DDD9014000000000,5.81685514766235,-46.5,-4.875
300833B2DDD901400000002E,3.40543734910612,-61.5,26.8125
300833B2DDD9014000000029,2.82252464970958,-53,18.6875
300833B2DDD9014000000000,0.165669925091649,-53.5,-3.25
300833B2DDD9014000000000,4.7430685961424,-62,1.625
300833B2DDD9014000000031,5.35666091129666,-57,0
300833B2DDD901400000000D,4.66943751832389,-59.5,30.875
300833B2DDD9014000000016,5.05600067687107,-61.5,9.75
300833B2DDD9014000000000,5.57141822160065,-62,13.8125
300833B2DDD9014000000004,2.62617510886022,-64.5,30.0625
300833B2DDD9014000000001,6.2709134608765,-67.5,-55.3125
300833B2DDD9014000000000,5.8966221486324,-72,-28.4375
300833B2DDD9014000000031,5.32598129553895,-57.5,-1.625
300833B2DDD9014000000000,4.76147636559703,-44,-4.875
300833B2DDD9014000000000,1.09833024412612,-41,4.875
300833B2DDD9014000000008,4.73079674983932,-44.5,1.625
300833B2DDD9014000000000,4.01902966426038,-53.5,4.875
300833B2DDD9014000000000,1.40512640170325,-54,7.3125
300833B2DDD9014000000000,4.74920451929395,-62,18.6875
300833B2DDD9014000000018,3.48520435007618,-41.5,6.5
300833B2DDD9014000000000,2.89615572752809,-40,1.625
300833B2DDD9014000000000,1.08605839782303,-53,0
300833B2DDD901400000000C,2.00644687055442,-63.5,21.9375
300833B2DDD901400000002D,1.54625263418873,-41,1.625
300833B2DDD9014000000000,0.509281621578033,-46.5,6.5
300833B2DDD901400000002E,3.45452473431846,-61.5,1.625
300833B2DDD9014000000003,5.32598129553895,-46.5,-4.875
300833B2DDD9014000000000,4.67557344147543,-45.5,-3.25
300833B2DDD9014000000002,2.66299064776947,-43.5,8.125
300833B2DDD9014000000001,0.558369006790373,-46.5,8.9375
300833B2DDD9014000000029,2.68753434037564,-52.5,21.9375
300833B2DDD9014000000004,2.52186441528399,-65,56.9375
300833B2DDD9014000000000,5.81685514766235,-46.5,-3.25
300833B2DDD9014000000000,5.71868037723767,-63,-40.6875
300833B2DDD901400000001A,3.08023342207437,-43,-1.625
300833B2DDD9014000000016,5.0314569842649,-62,13.8125
300833B2DDD9014000000000,5.66345706887379,-64,-10.5625
300833B2DDD901400000001D,4.33809766814059,-39,4.875
300833B2DDD9014000000012,5.46097160487288,-55.5,0
300833B2DDD9014000000013,4.69398121093006,-62.5,11.375
300833B2DDD9014000000000,3.54042765844006,-55.5,22.75
300833B2DDD901400000000D,4.73693267299086,-59,1.625
300833B2DDD901400000000F,1.27627201552085,-56.5,8.125
300833B2DDD9014000000011,3.39316550280304,-56,26
300833B2DDD9014000000000,0.128854386182394,-53.5,12.1875
300833B2DDD9014000000000,0.98174770424681,-59,0
300833B2DDD9014000000001,0.0184077694546277,-66.5,-27.625
300833B2DDD9014000000002,2.65071880146639,-43.5,8.125
300833B2DDD9014000000000,4.77374821190012,-62,6.5
300833B2DDD9014000000029,2.66912657092102,-53,11.375
300833B2DDD9014000000000,3.52815581213697,-55.5,22.75
300833B2DDD901400000001A,3.06796157577128,-43,7.3125
300833B2DDD9014000000000,0.994019550549895,-59,3.25
300833B2DDD9014000000003,5.28916575662969,-46.5,4.875
300833B2DDD9014000000000,4.73079674983932,-44,3.25
300833B2DDD9014000000000,1.04310693576224,-53.5,8.9375
300833B2DDD901400000000F,1.28854386182394,-56,4.875
300833B2DDD9014000000000,0.509281621578033,-46.5,4.875
300833B2DDD9014000000008,4.71852490353623,-45,-3.25
300833B2DDD901400000002D,1.55852448049181,-41,-1.625
300833B2DDD9014000000018,3.51588396583389,-41.5,0
300833B2DDD9014000000000,5.63891337626762,-65,4.875
300833B2DDD901400000001D,4.33196174498905,-39,6.5
300833B2DDD9014000000000,4.65716567202081,-45,3.25
300833B2DDD9014000000000,5.79231145505618,-46.5,1.625
300833B2DDD9014000000011,3.35021404074224,-55.5,38.1875
300833B2DDD9014000000013,4.66330159517235,-62,30.0625
300833B2DDD9014000000012,5.47324345117597,-55.5,-9.75
300833B2DDD9014000000000,5.57141822160065,-63.5,-13.8125
300833B2DDD9014000000000,5.16644729359884,-72.5,146.4375
300833B2DDD901400000002E,3.33794219443916,-61.5,34.9375
300833B2DDD9014000000000,1.39285455540016,-54,13.8125
300833B2DDD9014000000001,0.582912699396544,-46.5,-1.625
300833B2DDD9014000000004,2.60776733940559,-64.5,21.9375
300833B2DDD9014000000000,1.10446616727766,-41,6.5
300833B2DDD901400000000D,4.7430685961424,-59.5,1.625
300833B2DDD9014000000000,2.86547611177038,-40,8.125
300833B2DDD9014000000001,0.00613592315154256,-66.5,0
300833B2DDD9014000000016,5.02532106111336,-61.5,11.375
