EPC,Phase,RSSI,Doppler
300833B2DDD9014000000031,5.87821437917778,-57.5,9.75
300833B2DDD9014000000001,0.877437010670587,-46,3.25
300833B2DDD9014000000000,1.46648563321867,-62,1.625
300833B2DDD9014000000000,0.93266031903447,-62,-17.0625
300833B2DDD9014000000004,3.29499073237836,-65,6.5
300833B2DDD9014000000000,2.81025280340649,-53.5,10.5625
300833B2DDD901400000000C,2.54027218473862,-58.5,6.5
300833B2DDD9014000000000,5.08054436947724,-63,8.125
300833B2DDD9014000000000,0.447922390062607,-50,0
300833B2DDD9014000000018,4.22765105141283,-42,13.8125
300833B2DDD9014000000000,2.64458287831485,-39,4.875
300833B2DDD9014000000000,2.33165079758617,-41,-13.8125
300833B2DDD9014000000012,6.05615615057251,-49,-6.5
300833B2DDD9014000000000,5.52233083638831,-65.5,-36.5625
300833B2DDD9014000000000,4.25833066717054,-51,21.125
300833B2DDD9014000000000,1.25172832291468,-50,0
300833B2DDD901400000000D,5.00691329165873,-55.5,22.75
300833B2DDD9014000000000,5.61436968366145,-58.5,3.25
300833B2DDD901400000000F,5.3627968344482,-61,4.875
300833B2DDD9014000000016,5.39961237335746,-58,1.625
300833B2DDD9014000000000,5.08668029262879,-62.5,33.3125
300833B2DDD901400000000D,5.04372883056799,-55.5,15.4375
300833B2DDD9014000000000,5.58369006790373,-58.5,13.8125
300833B2DDD9014000000000,0.417242774304894,-50,8.125
300833B2DDD901400000000F,5.33825314184203,-61.5,15.4375
300833B2DDD9014000000000,2.84706834231575,-54,4.875
300833B2DDD9014000000018,4.24605882086745,-42,9.75
300833B2DDD9014000000000,1.23332055346006,-50,7.3125
300833B2DDD901400000000C,2.55867995419325,-58.5,8.125
300833B2DDD9014000000031,5.85367068657161,-58,13.8125
300833B2DDD9014000000000,2.66299064776947,-39,3.25
300833B2DDD9014000000000,2.33165079758617,-41,-8.125
300833B2DDD9014000000000,1.50330117212793,-62.5,3.25
300833B2DDD9014000000000,4.26446659032208,-51,17.0625
300833B2DDD9014000000001,0.901980703276757,-46,1.625
300833B2DDD9014000000016,5.43029198911517,-58,-3.25
300833B2DDD9014000000000,0.951068088489098,-62,-15.4375
300833B2DDD9014000000012,6.06229207372405,-49.5,-3.25
300833B2DDD9014000000000,5.28302983347815,-65,40.6875
300833B2DDD9014000000004,3.20908780825676,-65.5,60.1875
300833B2DDD9014000000012,6.06229207372405,-49.5,-1.625
300833B2DDD9014000000000,1.49716524897639,-61.5,15.4375
300833B2DDD9014000000000,5.32598129553895,-66,13.8125
300833B2DDD9014000000000,4.28287435977671,-51,13.8125
300833B2DDD9014000000000,1.2394564766116,-50,7.3125
300833B2DDD901400000000D,5.06827252317416,-55.5,8.9375
300833B2DDD9014000000000,2.33165079758617,-41,-8.125
300833B2DDD9014000000018,4.24605882086745,-42,13.8125
300833B2DDD9014000000001,0.901980703276757,-46,1.625
300833B2DDD9014000000000,2.67526249407256,-39,1.625
300833B2DDD9014000000000,2.85934018861884,-53.5,-1.625
300833B2DDD9014000000000,0.472466082668777,-50,0
300833B2DDD9014000000004,3.24590334716602,-66,50.4375
300833B2DDD901400000000C,2.57095180049633,-58.5,3.25
300833B2DDD9014000000000,0.975611781095268,-62,-22.75
300833B2DDD9014000000000,5.1603113704473,-62.5,-3.25
300833B2DDD9014000000031,5.84139884026852,-58,20.3125
300833B2DDD9014000000016,5.46710752802443,-58,-3.25
300833B2DDD9014000000000,5.68186483832841,-58.5,-21.125
300833B2DDD901400000000F,5.3627968344482,-62,9.75
300833B2DDD9014000000016,5.46097160487288,-57.5,0
300833B2DDD9014000000000,2.85320426546729,-53.5,4.875
300833B2DDD9014000000000,2.34392264388926,-41.5,-8.125
300833B2DDD9014000000000,5.14190360099267,-62.5,18.6875
300833B2DDD9014000000000,1.26400016921777,-50,0
300833B2DDD9014000000000,0.901980703276757,-62,-12.1875
300833B2DDD9014000000018,4.26446659032208,-42,6.5
300833B2DDD9014000000012,6.06229207372405,-49.5,0
300833B2DDD9014000000000,5.38120460390283,-66.5,0
300833B2DDD901400000000D,5.06213660002262,-55.5,11.375
300833B2DDD9014000000000,2.6813984172241,-39,0
300833B2DDD901400000000C,2.57095180049633,-59,0
300833B2DDD9014000000000,4.29514620607979,-51,13.8125
300833B2DDD9014000000004,3.2152237314083,-65,9.75
300833B2DDD9014000000000,1.54011671103718,-62.5,-13.8125
300833B2DDD9014000000000,5.63277745311607,-58.5,8.9375
300833B2DDD901400000000F,5.3627968344482,-61.5,13.8125
300833B2DDD9014000000031,5.84139884026852,-58,17.0625
300833B2DDD9014000000001,0.9081166264283,-46,4.875
300833B2DDD9014000000000,0.447922390062607,-50,8.125
300833B2DDD9014000000000,5.62050560681299,-58.5,7.3125
300833B2DDD9014000000000,1.5278448647341,-62.5,-17.0625
300833B2DDD9014000000018,4.26446659032208,-42.5,4.875
300833B2DDD901400000000F,5.33211721869049,-62,17.0625
300833B2DDD9014000000031,5.90275807178395,-57.5,8.125
300833B2DDD9014000000000,4.27060251347362,-51,21.125
300833B2DDD9014000000000,2.6813984172241,-39,3.25
300833B2DDD9014000000012,6.08069984317868,-49.5,-1.625
300833B2DDD9014000000016,5.38120460390283,-58,25.1875
300833B2DDD9014000000000,1.24559239976314,-50,13.8125
300833B2DDD901400000000D,5.05600067687107,-56,15.4375
300833B2DDD9014000000000,0.497009775274948,-50,-1.625
300833B2DDD9014000000000,2.87161203492192,-54,0
300833B2DDD9014000000000,5.38120460390283,-66.5,25.1875
300833B2DDD9014000000001,0.914252549579842,-46,4.875
300833B2DDD9014000000000,2.35619449019234,-41.5,-9.75
300833B2DDD9014000000004,3.28271888607527,-65,43.9375
300833B2DDD9014000000000,0.9081166264283,-62,-7.3125
300833B2DDD901400000000C,2.58935956995096,-58.5,-4.875
300833B2DDD9014000000000,5.12963175468958,-63,20.3125
300833B2DDD9014000000000,1.2824079386724,-50,-1.625
300833B2DDD9014000000000,2.68753434037564,-39,3.25
300833B2DDD9014000000000,0.484737928971863,-50,-4.875
300833B2DDD9014000000000,2.3500585670408,-41.5,-9.75
300833B2DDD9014000000000,5.08668029262879,-63,31.6875
300833B2DDD9014000000000,5.21553467881118,-65.5,74
300833B2DDD9014000000018,4.27060251347362,-42.5,4.875
300833B2DDD9014000000000,4.27673843662517,-51,21.125
300833B2DDD9014000000000,2.85934018861884,-54,4.875
300833B2DDD9014000000012,6.0684279968756,-49.5,3.25
300833B2DDD9014000000000,5.62664152996453,-58.5,8.9375
300833B2DDD9014000000000,0.93266031903447,-62.5,-10.5625
300833B2DDD9014000000001,0.914252549579842,-46,8.9375
300833B2DDD9014000000000,1.5278448647341,-62.5,-10.5625
300833B2DDD901400000000C,2.56481587734479,-58.5,6.5
300833B2DDD901400000000D,5.05600067687107,-55.5,12.1875
300833B2DDD9014000000004,3.2581751934691,-65.5,15.4375
300833B2DDD9014000000031,5.85367068657161,-58.5,18.6875
300833B2DDD901400000000F,5.51619491323677,-62,-28.4375
300833B2DDD9014000000016,5.46710752802443,-58.5,-1.625
300833B2DDD901400000000D,5.05600067687107,-56,11.375
300833B2DDD9014000000018,4.26446659032208,-42,8.125
300833B2DDD9014000000000,2.68753434037564,-39,3.25
300833B2DDD9014000000000,5.62050560681299,-58.5,1.625
300833B2DDD9014000000031,5.88435030232932,-58.5,3.25
300833B2DDD9014000000016,5.44256383541826,-58,15.4375
300833B2DDD9014000000000,5.47937937432751,-66.5,-23.5625
300833B2DDD901400000000F,5.33211721869049,-62,20.3125
300833B2DDD901400000000C,2.60163141625405,-58.5,-8.125
300833B2DDD9014000000000,1.3989904785517,-62.5,27.625
300833B2DDD9014000000000,1.25786424606623,-50,3.25
300833B2DDD9014000000000,2.86547611177038,-54,8.9375
300833B2DDD9014000000000,0.472466082668777,-50,4.875
300833B2DDD9014000000004,3.33180627128761,-66,15.4375
300833B2DDD9014000000001,0.926524395882927,-46.5,0
300833B2DDD9014000000000,2.33778672073772,-41.5,-6.5
300833B2DDD9014000000012,6.0684279968756,-49.5,4.875
300833B2DDD9014000000000,4.28287435977671,-51,18.6875
300833B2DDD9014000000000,0.93266031903447,-62.5,-3.25
300833B2DDD9014000000000,5.14803952414421,-63,18.6875
300833B2DDD901400000000F,5.43029198911517,-62,1.625
300833B2DDD9014000000018,4.27673843662517,-42.5,11.375
300833B2DDD9014000000012,6.08069984317868,-49.5,-1.625
300833B2DDD901400000000D,5.04372883056799,-55.5,21.125
300833B2DDD9014000000000,4.28901028292825,-51,8.9375
300833B2DDD9014000000000,5.61436968366145,-59,8.9375
300833B2DDD9014000000000,2.69367026352719,-39,1.625
