EPC,Phase,RSSI,Doppler
300833B2DDD9014000000001,0.828349625458246,-39,1.625
300833B2DDD9014000000011,4.99464144535565,-50,0
300833B2DDD9014000000031,6.14205907469411,-57,13.8125
300833B2DDD9014000000000,3.53429173528852,-61,39.875
300833B2DDD901400000001D,0.539961237335746,-43.5,8.125
300833B2DDD9014000000000,5.14803952414421,-62.5,30.875
300833B2DDD901400000000C,4.92101036753714,-46.5,1.625
300833B2DDD9014000000000,1.07378655151995,-39.5,8.125
300833B2DDD9014000000000,1.98190317794825,-56,-11.375
300833B2DDD9014000000000,5.97025322645092,-39.5,6.5
300833B2DDD9014000000008,4.82283559711246,-54.5,18.6875
300833B2DDD9014000000000,0.994019550549895,-48,8.125
300833B2DDD9014000000012,5.35666091129666,-40,0
300833B2DDD9014000000018,0.822213702306704,-39,4.875
300833B2DDD9014000000015,5.68800076147996,-43.5,4.875
300833B2DDD9014000000002,3.08023342207437,-57.5,3.25
300833B2DDD9014000000000,0.601320468851171,-37.5,8.125
300833B2DDD901400000000B,2.36846633649543,-41,-3.25
300833B2DDD9014000000000,2.65071880146639,-51.5,-13.8125
300833B2DDD9014000000003,1.00629139685298,-51,1.625
300833B2DDD9014000000004,4.26446659032208,-58,23.5625
300833B2DDD9014000000000,1.79782548340197,-61,17.0625
300833B2DDD9014000000019,3.41157327225767,-57,18.6875
300833B2DDD9014000000000,3.33180627128761,-48,15.4375
300833B2DDD901400000000D,2.55254403104171,-51.5,3.25
300833B2DDD901400000001A,1.69351478982575,-45.5,1.625
300833B2DDD9014000000001,3.23976742401447,-42,-3.25
300833B2DDD901400000002D,0.404970928001809,-45.5,4.875
300833B2DDD9014000000013,1.32535940073319,-56.5,-8.125
300833B2DDD9014000000000,1.83464102231123,-49.5,1.625
300833B2DDD9014000000016,5.72481630038921,-44,1.625
300833B2DDD9014000000000,1.58306817309798,-52,4.875
300833B2DDD901400000000F,4.68170936462698,-59.5,17.0625
300833B2DDD9014000000029,1.93895171588745,-58.5,-1.625
300833B2DDD9014000000000,4.95782590644639,-46.5,1.625
300833B2DDD9014000000006,3.16613634619596,-56,13.8125
300833B2DDD901400000002E,0.319068003880213,-57,11.375
300833B2DDD9014000000000,4.24605882086745,-55,4.875
300833B2DDD9014000000000,1.60147594255261,-59.5,3.25
300833B2DDD9014000000000,6.06229207372405,-55.5,1.625
300833B2DDD9014000000000,4.32582582183751,-60,-4.875
300833B2DDD9014000000000,2.6813984172241,-51.5,9.75
300833B2DDD9014000000000,2.62003918570868,-54,-4.875
300833B2DDD9014000000000,3.29499073237836,-61,20.3125
300833B2DDD9014000000000,2.60163141625405,-49,1.625
300833B2DDD9014000000000,3.91471897068416,-50.5,10.5625
300833B2DDD9014000000000,0.625864161457342,-59.5,12.1875
300833B2DDD9014000000008,4.86578705917325,-54,4.875
300833B2DDD9014000000019,3.42384511856075,-58,18.6875
300833B2DDD9014000000003,1.01856324315607,-51,-1.625
300833B2DDD9014000000000,2.60776733940559,-54,0
300833B2DDD9014000000016,5.74322406984384,-44,-1.625
300833B2DDD9014000000000,1.02469916630761,-48,6.5
300833B2DDD9014000000000,4.23992289771591,-59.5,29.25
300833B2DDD9014000000000,1.93895171588745,-55.5,6.5
300833B2DDD9014000000000,3.59565096680394,-61.5,22.75
300833B2DDD9014000000000,1.79782548340197,-61,15.4375
300833B2DDD901400000000F,4.69398121093006,-59.5,3.25
300833B2DDD9014000000000,4.95782590644639,-46.5,7.3125
300833B2DDD9014000000011,5.01918513796182,-50.5,0
300833B2DDD901400000000C,4.93328221384022,-47,4.875
300833B2DDD9014000000012,5.35052498814512,-40,4.875
300833B2DDD9014000000018,0.846757394912874,-39.5,1.625
300833B2DDD9014000000000,1.09833024412612,-39.5,8.125
300833B2DDD901400000002D,0.435650543759522,-45.5,3.25
300833B2DDD901400000001D,0.558369006790373,-43.5,4.875
300833B2DDD9014000000001,0.859029241215959,-39,3.25
300833B2DDD9014000000000,2.60163141625405,-49,10.5625
300833B2DDD9014000000001,3.25203927031756,-42,-3.25
300833B2DDD9014000000000,6.03161245796634,-55.5,15.4375
300833B2DDD9014000000000,2.6813984172241,-51,11.375
300833B2DDD901400000001A,1.68737886667421,-45.5,1.625
